EU group,Late(Y/N),,EU group,Late(count),OnTime(count),Late(percentage),OnTime(percentage)
ECR,Y,,ECR,1,30,3.225806452,96.77419355
ECR,N,,EPP,30,84,26.31578947,73.68421053
ECR,N,,Greens/EFA,15,24,38.46153846,61.53846154
ECR,N,,ID,0,27,0,100
ECR,N,,NA,1,9,10,90
ECR,N,,RE,13,35,27.08333333,72.91666667
ECR,N,,S&D,27,18,60,40
ECR,N,,The Left,3,4,42.85714286,57.14285714
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
ECR,N,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,Y,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,Y,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
EPP,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,Y,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
Greens/EFA,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
ID,N,,,,,,
